2015-10-29 10:52:20.953 pinger DEBUG PING 192.168.233.100 (192.168.233.100) 56(84) bytes of data.
2015-10-29 10:52:20.959 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=1 ttl=63 time=1.97 ms
2015-10-29 10:52:21.453 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=2 ttl=63 time=0.826 ms
2015-10-29 10:52:21.953 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=3 ttl=63 time=0.833 ms
2015-10-29 10:52:22.453 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=4 ttl=63 time=0.840 ms
2015-10-29 10:52:22.954 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=5 ttl=63 time=0.874 ms
2015-10-29 10:52:23.454 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=6 ttl=63 time=0.805 ms
2015-10-29 10:52:23.955 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=7 ttl=63 time=0.830 ms
2015-10-29 10:52:24.465 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=8 ttl=63 time=1.00 ms
2015-10-29 10:52:24.957 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=9 ttl=63 time=0.871 ms
2015-10-29 10:52:25.457 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=10 ttl=63 time=0.828 ms
2015-10-29 10:52:25.959 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=11 ttl=63 time=0.790 ms
2015-10-29 10:52:26.459 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=12 ttl=63 time=0.799 ms
2015-10-29 10:52:26.962 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=13 ttl=63 time=0.822 ms
2015-10-29 10:52:27.461 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=14 ttl=63 time=0.903 ms
2015-10-29 10:52:27.963 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=15 ttl=63 time=0.792 ms
2015-10-29 10:52:28.463 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=16 ttl=63 time=1.02 ms
2015-10-29 10:52:28.965 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=17 ttl=63 time=1.03 ms
