2016-01-29 15:38:37.404 tcpdump DEBUG tcpdump: WARNING: br-int: no IPv4 address assigned
2016-01-29 15:38:37.409 tcpdump DEBUG tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
2016-01-29 15:38:37.410 tcpdump DEBUG listening on br-int, link-type EN10MB (Ethernet), capture size 65535 bytes
2016-01-29 15:38:54.962 tcpdump DEBUG 15:38:54.959931 fa:16:3e:9d:0f:de > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 2, p 0, ethertype ARP, Request who-has 169.254.0.1 (Broadcast) tell 169.254.0.1, length 28
2016-01-29 15:38:54.963 tcpdump DEBUG 15:38:54.959954 fa:16:3e:64:80:82 > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 3, p 0, ethertype ARP, Request who-has 10.0.0.1 (Broadcast) tell 10.0.0.1, length 28
2016-01-29 15:38:54.964 tcpdump DEBUG 15:38:54.959958 fa:16:3e:9d:0f:de > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 2, p 0, ethertype ARP, Request who-has 169.254.0.1 (Broadcast) tell 169.254.0.1, length 28
2016-01-29 15:38:54.965 tcpdump DEBUG 15:38:54.959970 fa:16:3e:9d:0f:de > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 2, p 0, ethertype ARP, Request who-has 169.254.0.1 (Broadcast) tell 169.254.0.1, length 28
2016-01-29 15:38:54.966 tcpdump DEBUG 15:38:54.959972 fa:16:3e:64:80:82 > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 3, p 0, ethertype ARP, Request who-has 10.0.0.1 (Broadcast) tell 10.0.0.1, length 28
2016-01-29 15:38:54.967 tcpdump DEBUG 15:38:54.959974 fa:16:3e:9d:0f:de > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 2, p 0, ethertype ARP, Request who-has 169.254.0.1 (Broadcast) tell 169.254.0.1, length 28
2016-01-29 15:38:54.968 tcpdump DEBUG 15:38:54.959976 fa:16:3e:9d:0f:de > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 2, p 0, ethertype ARP, Request who-has 169.254.0.1 (Broadcast) tell 169.254.0.1, length 28
2016-01-29 15:38:54.969 tcpdump DEBUG 15:38:54.959978 fa:16:3e:64:80:82 > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 3, p 0, ethertype ARP, Request who-has 10.0.0.1 (Broadcast) tell 10.0.0.1, length 28
2016-01-29 15:38:54.970 tcpdump DEBUG 15:38:54.959981 fa:16:3e:64:80:82 > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 3, p 0, ethertype ARP, Request who-has 10.0.0.1 (Broadcast) tell 10.0.0.1, length 28
2016-01-29 15:38:54.971 tcpdump DEBUG 15:38:54.959996 fa:16:3e:64:80:82 > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 3, p 0, ethertype ARP, Request who-has 10.0.0.1 (Broadcast) tell 10.0.0.1, length 28
2016-01-29 15:38:59.964 tcpdump DEBUG 15:38:59.962999 fa:16:3e:9d:0f:de > Broadcast, ethertype 802.1Q (0x8100), length 46: vlan 2, p 0, ethertype ARP, Request who-has 169.254.0.1 (Broadcast) tell 169.254.0.1, length 28
